Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Extra,Stav,Zdroj,Spárováno,Odkaz na auto
BAIC X3 1.5T 6MT,395000,10,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,Luxury,,T 6 MT 4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429000,10,2025,Benzín,1.5,,,100,Automatická,,,,Ne,SUV,Luxury,,T CVT 4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,395000,10,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,Luxury,,T 6 MT 4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,4,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,4,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,4,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,4,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,4,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,4,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,4,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,4,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,4,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,4,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,4,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,4,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,4,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,8,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,8,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,8,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X3 1.5T 6MT,429900,8,2025,Benzín,1.5,,,110,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ano,
BAIC X35 1.5,429990,,2026,Benzín,1.5,,,100,Automatická,,,,Ne,SUV,,,T AUTOMAT KAMERA,Nové,Sauto.cz,Ne,
BAIC X35 1.5,389900,4500,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,ALL IN T 4×2 6MT,Předváděcí,Sauto.cz,Ne,
BAIC X35 1.5,395000,10,2025,Benzín,1.5,,,100,,,,,Ne,SUV,Luxury,,T 6 MT 4x2,Nové,Sauto.cz,Ne,
