Typ,Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Tepelné čerpadlo,Spárováno,Skóre shody,Extra,Stav,Zdroj,Odkaz na auto
Spalovací,Audi A6 2.0 TDI,682000,97551,2021,Nafta,2.0,TDI,,150,Automatická,Ano,,,Ne,Kombi,,,,Ano,,"40 ALU 18""",Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a6-avant/210428207
Spalovací,Audi A6 2.0 TDI,729000,73785,2021,Nafta,2.0,TDI,,150,Automatická,,,,Ne,Kombi,S-Line,,,Ano,,Avant ČR,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a6/207966364
Spalovací,Audi A6 3.0 TDI,719900,65075,2021,Nafta,3.0,TDI,,180,Manuální,,,,Ano,Sedan/limuzína,Quattro,,,Ano,,Sport 45 Stronic,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a6/208743362
Spalovací,Audi A6 2.0 TDI,719000,98907,2021,Nafta,2.0,TDI,,150,Automatická,,,,Ano,Kombi,S-Line,,,Nejisté,4,40 Q HD MATRIX LED,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a6/209482710
Spalovací,Audi A6 2.0 TFSI,722000,89954,2022,Benzín,2.0,TFSI,,195,Automatická,Ano,,,Ne,Kombi,,,,Nejisté,4,45 e,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a6/210445823
Spalovací,Audi A6 2.0 TDI,699900,96700,2022,Nafta,2.0,TDI,,150,Automatická,,,,Ne,Kombi,,,,Nejisté,4,40 Avant Sport,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a6/210547556
Elektrické,Audi e-tron,658000,47650,2022,Elektro,,,,230,,,,,Ano,SUV,,,Ano,,,Dojezd 350 km / Baterie 71 kWh / AUDI E-Tron Q8 QUATTRO záruka,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/e-tron/209851392
Elektrické,Audi e-tron,699990,95580,2021,Elektro,,,,230,,,,,Ano,SUV,,,Ano,,,Baterie 71 kWh / 50 QUATTRO 230kw 20ALU SOH100%,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/e-tron/210271316
Spalovací,Audi Q2 35 TFSI (Pohon předních kol),679000,30000,2024,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,SUV,S Line,,,Ano,,35,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q2/208611500
Spalovací,Audi Q2 35 TFSI (Pohon předních kol),539900,69417,2023,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,SUV,,,,Ano,,Advanced 7Stronic,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q2/210082061
Spalovací,Audi Q2 35 TFSI (Pohon předních kol),569900,36276,2023,Benzín,1.5,TFSI,,109,Automatická,,,,Ne,SUV,,,,Ano,,Advanced 35 Stronic,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q2/210292322
Spalovací,Audi Q2 35 TFSI (Pohon předních kol),569000,25100,2022,Nafta,2.0,,,110,Automatická,,,,Ano,SUV,Quattro,,,Ano,,"NAVI,KAMERA",Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q2/210426470
Spalovací,Audi Q2 35 TFSI (Pohon předních kol),559999,30095,2023,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,SUV,,,,Nejisté,2,35 CZ Advanced DPH,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q2/210515831
Spalovací,Audi Q3 35 TFSI (Standardní SUV),579000,34960,2022,Benzín,1.5,TFSI,,110,Manuální,,,,Ne,SUV,,,,Ano,,35,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q3/208917708
Spalovací,Audi Q3 45 TFSI e (PHEV),599900,92825,2021,Nafta,2.0,TDI,,110,Automatická,,,,Ano,Terénní,Quattro,,,Nejisté,-2,"35 SPORTBACK, VIRTU",Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q3/208932174
Spalovací,Audi Q3 35 TFSI (Standardní SUV),689900,35550,2023,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,SUV,,,,Ano,,,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q3/209918376
Spalovací,Audi Q3 35 TFSI (Standardní SUV),750000,70576,2021,Nafta,2.0,TDI,,140,Automatická,,,,Ano,SUV,S-Line,,,Ano,2,"40 , DPH, ČR",Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q3/209940420
Spalovací,Audi Q3 35 TFSI (Standardní SUV),690000,58073,2022,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,SUV,,,,Ano,,SB Sline 35 / 110 k,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q3/210035658
Spalovací,Audi Q3 35 TFSI (Standardní SUV),679000,54224,2024,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,SUV,S Line,,,Ano,5,AT7 Gravity,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q3/210059810
Spalovací,Audi Q3 35 TFSI (Standardní SUV),715000,45733,2024,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,SUV,S Line,,,Ano,5,35 S tronic LE,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q3/210124181
Spalovací,Audi Q3 35 TFSI (Standardní SUV),719000,23345,2024,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,SUV,S Line,,,Ano,5,35 A7 Gravity,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q3/210176264
Spalovací,Audi Q3 35 TFSI (Standardní SUV),699000,89480,2022,Nafta,2.0,TDI,,110,Automatická,,,,Ano,SUV,,,,Ano,2,Q3 ADVANCED QUA,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q3/210420296
Spalovací,Audi Q3 45 TFSI e (PHEV),650000,79221,2021,Benzín,1.5,,,110,Automatická,,,,Ne,Hatchback,,,,Nejisté,-1,Audi Q3 Sportback,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q3/210451334
Spalovací,Audi Q3 35 TFSI (Standardní SUV),699999,71000,2021,Nafta,2.0,TDI,,110,Automatická,,,,Ne,SUV,,,,Ano,,Audi Q3 Sportback 35,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q3/210480773
Spalovací,Audi Q3 35 TFSI (Standardní SUV),657900,54230,2023,Nafta,2.0,TDI,,110,Automatická,,,,Ne,SUV,S-Line,,,Ano,2,54tkm. 1.maj.ČR,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q3/210489248
Spalovací,Audi Q3 45 TFSI e (PHEV),699900,43356,2021,Benzín,2.0,TFSI,,180,Automatická,,,,Ano,Kombi,S-Line,,,Ano,1,"DPH,A T",Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q3/210519323
Spalovací,Audi Q3 35 TFSI (Standardní SUV),729000,85000,2022,Nafta,2.0,TDI,,110,Automatická,,,,Ne,SUV,S-Line,,,Ano,2,35,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q3/210534305
Elektrické,Audi Q4 e-tron,739000,50000,2022,Elektro,,,,125,,,,,Ne,SUV,,,Ano,,,"Baterie 55 kWh / 35 92,6% SoH senzory",Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/q4-e-tron/210302045
Spalovací,BAIC X3 1.5T 6MT,458991,25,2025,Benzín,1.5,,,110,Automatická,,,,Ne,SUV,,,,Ano,,T AUTOMAT LED ŠÍBR,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x3/209318631
Spalovací,BAIC X3 1.5T 6MT,395000,10,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,Luxury,,,Ano,,T 6 MT 4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x3/209564438
Spalovací,BAIC X3 1.5T 6MT,429000,10,2025,Benzín,1.5,,,100,Automatická,,,,Ne,SUV,Luxury,,,Ano,,T CVT 4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x3/209571054
Spalovací,BAIC X3 1.5T 6MT,395000,10,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,Luxury,,,Ano,,T 6 MT 4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x3/209571297
Spalovací,BAIC X3 1.5T 6MT,489000,13837,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,Ano,,Ano,2,"T, Záruka, Serv.kniha, Kůže",Předváděcí,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x3/210511871
Spalovací,BAIC X3 1.5T 6MT,416000,10,2025,Benzín,1.5,,,110,Automatická,,,,Ne,SUV,,Ano,,Ano,2,"T, Záruka, Automat",Předváděcí,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x3/210525635
Spalovací,BAIC X35 1.5,429990,,2026,Benzín,1.5,,,100,Automatická,,,,Ne,SUV,,,,Ano,2,T AUTOMAT KAMERA,Nové,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209458935
Spalovací,BAIC X35 1.5,379900,4500,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,2,ALL IN T 4×2 6MT,Předváděcí,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209533272
Spalovací,BAIC X35 1.5,395000,10,2025,Benzín,1.5,,,100,,,,,Ne,SUV,Luxury,,,Ano,,T 6 MT 4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209620248
Spalovací,BAIC X35 1.5,399990,,2026,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,ALL IN T 6MT,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209740830
Spalovací,BAIC X35 1.5,399900,4,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,,Ano,,4x2,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/baic/x35/209805585
